titre,entreprise,description,localisation,date_publication,date_limite,nombre_postes,niveau_experience,niveau_etudes_requis,competences_cles,contrat_propose,teletravail,lien
Engine Mechanic (f/m/diverse),Lufthansa Technik AG,Tasks As an Engine Mechanic (f/m/diverse) you will be working in a motivated team and will be responbile for the following tasks: assembly and disassembly of engines and engine modules inspection and repair of engines and engine parts Please...,Hamburg (Allemagne),02.05.2025,02.07.2025,Postes proposés: 1,De 3 à 5 ans,Bac +2,"['Méthodes ', ' Process ', ' Industrialisation']",CDI,Non,https://www.rekrute.com/offre-emploi-engine-mechanic-fmdiverse-recrutement-lufthansa-technik-ag-hamburg-171178.html
Ingénieur Biomédical,Oncorad Group,"Intégré(e) au sein d'une entreprise dynamique du secteur de la santé, vous contribuerez activement à l'innovation et au développement de solutions biomédicales de pointe. Votre mission principale consistera...",Casablanca (Maroc),02.05.2025,02.07.2025,Postes proposés: 1,De 3 à 5 ans,Bac +5 et plus,"['Santé ', ' Social (métiers de)']",CDI,Non,https://www.rekrute.com/offre-emploi-ingenieur-biomedical-recrutement-oncorad-group-casablanca-171177.html
Manager H/F,McDonald's Maroc,"Le  Manager (le 2ème assistant) est le garant d’une bonne gestion du restaurant, il veille tout le temps sur la qualité, le service, la propreté pendant son shift et la sécurité des biens et des collaborateurs du...",Fès (Maroc),02.05.2025,07.06.2025,Postes proposés: 6,De 1 à 3 ans,Bac +2,['Call Centers (métiers de)'],CDI,Non,https://www.rekrute.com/offre-emploi-manager-hf-recrutement-mcdonalds-maroc-fes-170311.html
Stagiaire-Service documentation,CAT Assurance et Réassurance,"Rattaché(e) au responsable du service Documentation, vous aurez pour missions principales : Participer à la gestion et à l’actualisation de la base documentaire interne (classement, indexation, archivage) Contribuer à la...",Casablanca (Maroc),02.05.2025,02.07.2025,Postes proposés: 2,Débutant,Bac +2,"[""Assurance (métiers de l')""]",Stage,Non,https://www.rekrute.com/offre-emploi-stagiaire-service-documentation-recrutement-cat-assurance-et-reassurance-casablanca-171176.html
HR Manager Manufacturing H/F,Manpower Agences,"Principales responsabilités : Garantir la gestion opérationnelle du département P&C du manufacturing: Gestion des emplois : définir et élaborer le plan de recrutement global, superviser le processus de...",Casablanca (Maroc),,,,De 5 à 10 ans,Bac +5 et plus,"['RH ', ' Personnel ', ' Formation']",CDI,Non,https://www.rekrute.com/offre-emploi-hr-manager-manufacturing-hf-recrutement-manpower-agences-casablanca-171175.html
Planner,"Aeolon Technology co.,Ltd","Are you a highly organized and detail-oriented individual with a passion for efficiency and problem-solving? If so, this exciting opportunity as a Planner in our dynamic company in the Other Services sector, located in Nador, Morocco, might be your perfect...",Nador (Maroc),04.05.2025,04.07.2025,Postes proposés: 30,De 3 à 5 ans,Bac +5 et plus,"['Production ', ' Qualité ', ' Sécurité ', ' Maintenance']",CDI,Non,https://www.rekrute.com/offre-emploi-planner-recrutement-aeolon-technology-co.ltd-nador-171198.html
Chef de Projet Paie Senior,FMPS  - Fondation Marocaine du Préscolaire,"Rattaché(e) à la Direction Ressources Humaines, vos principales missions incluent : - Vérifier et traiter les informations des salariés, y compris les éléments variables de la paie - Traiter les éventuelles...",Rabat (Maroc),03.05.2025,03.07.2025,Postes proposés: 1,De 5 à 10 ans,Bac +5 et plus,"['Gestion ', ' Comptabilité ', ' Finance']",CDI,Non,https://www.rekrute.com/offre-emploi-chef-de-projet-paie-senior-recrutement-fmps---fondation-marocaine-du-prescolaire-rabat-171197.html
Responsable Système d'Information,,"Nous recherchons un(e) Responsable Système d'Information (RSI) pour piloter et optimiser l’ensemble des systèmes d’information de notre entreprise. en lien avec la direction, vous serez en charge de définir et mettre en...",Meknès (Maroc),03.05.2025,03.07.2025,Postes proposés: 1,De 5 à 10 ans,Bac +5 et plus,['Distribution (métiers de la)'],CDI,Non,https://www.rekrute.com/offre-emploi-responsable-systeme-dinformation-recrutement-confidentiel-meknes-171196.html
Chef comptable - Clinique,AKDITAL,"Nous sommes à la recherche de Chefs Comptables expérimentés pour rejoindre notre équipe sur les villes d'Oujda et Nador. En tant que Chef Comptable, vos principales missions seront : - Diriger l'équipe comptable...",Oujda - Nador (Maroc),03.05.2025,25.06.2025,Postes proposés: 2,De 5 à 10 ans,Bac +5 et plus,"['Gestion ', ' Comptabilité ', ' Finance']",CDI,Non,https://www.rekrute.com/offre-emploi-chef-comptable---clinique-recrutement-akdital-oujda---nador-171022.html
Infirmiers Polyvalents,AKDITAL,Nous sommes à la recherche des infirmiers polyvalents pour notre nouveau projet à Nador. Missions principales : - Réaliser des évaluations complètes de l'état de santé des patients - Surveiller et...,Nador (Maroc),02.05.2025,02.07.2025,Postes proposés: 12,Moins de 1 an,Bac +3,"['Médical ', ' Paramédical']",CDI,Non,https://www.rekrute.com/offre-emploi-infirmiers-polyvalents-recrutement-akdital-nador-171195.html
Avis Aux Jeunes Diplômés. Intégrez Unifitel et Bénéficiez d'un Tremplin Vers Les Métiers Financiers à Distance,Unifitel,"Vous êtes prêts pour de nouveaux challenges ? Vous souhaitez intégrer un Groupe où le succès et l’épanouissement sont des valeurs fondamentales ? Alors n’hésitez plus, rejoignez nos...",Casablanca (Maroc),02.05.2025,02.07.2025,Postes proposés: 10,Débutant,Bac +2,"['Administration des ventes ', ' SAV']",CDI,Non,https://www.rekrute.com/offre-emploi-avis-aux-jeunes-diplomes.-integrez-unifitel-et-beneficiez-dun-tremplin-vers-les-metiers-financiers-a-distance-recrutement-unifitel-casablanca-171194.html
Manager de site ( Facility Management ),AXA Services Maroc,Rattaché(e) au Responsable d’exploitation de Sites votre mission principale est d'Assurer la gestion de l’ensemble des activités de Facility Management et garantir la continuité d’activité sur son...,Sala al Jadida (Maroc),02.05.2025,02.07.2025,Postes proposés: 1,De 5 à 10 ans,Bac +4,"['Achats ', ' Supply Chain']",CDI,Non,https://www.rekrute.com/offre-emploi-manager-de-site-facility-management-recrutement-axa-services-maroc-sala-al-jadida-171193.html
Responsable audit et contrôle interne,,"Vous recherchez un nouveau défi passionnant dans le secteur dynamique de les métiers de la distribution et négoce, Un groupe de rénommée et en plein expansion sur la région de Fès/Meknès...",Meknès (Maroc),02.05.2025,02.07.2025,Postes proposés: 1,De 5 à 10 ans,Bac +5 et plus,['Distribution (métiers de la)'],CDI,Non,https://www.rekrute.com/offre-emploi-responsable-audit-et-controle-interne-recrutement-confidentiel-meknes-171192.html
Commerciaux en Assurance - émission d'appels,Eca Assurances,"Dans le cadre de la poursuite de notre développement, nous recrutons des Conseillers Commerciaux : Rejoindre ECA Assurances, c'est dire oui à une expérience qui a du sens, celle où les rencontres et les missions vous...",Casablanca (Maroc),02.05.2025,02.07.2025,Postes proposés: 10,De 1 à 3 ans,Bac +2,['Call Centers (métiers de)'],CDI,Non,https://www.rekrute.com/offre-emploi-commerciaux-en-assurance---emission-dappels-recrutement-eca-assurances-casablanca-171191.html
Juriste (H/F),,"Rattaché à la Direction Générale et en étroite collaboration avec les services opérationnels, vous assurerez les missions principales suivantes : • L'analyse des documents contractuels et des risques y...",. (Maroc),02.05.2025,09.06.2025,Postes proposés: 1,De 3 à 5 ans,Bac +5 et plus,"['Avocat ', ' Juriste ', ' Fiscaliste']",CDI,Non,https://www.rekrute.com/offre-emploi-juriste-hf-recrutement-confidentiel-.-170408.html
Ingénieur Travaux Génie Civil (H/F),,"Rattaché à la Direction Générale, vous avez pour principale mission de manager, conduire et coordonner les sous-traitants génie civil en respectant les coûts, les délais et les process qualité...",. (Maroc),02.05.2025,02.07.2025,Postes proposés: 1,De 1 à 3 ans,Bac +4,"['Travaux ', ' Chantiers ', ' BTP']",CDI,Non,https://www.rekrute.com/offre-emploi-ingenieur-travaux-genie-civil-hf-recrutement-confidentiel-.-171189.html
IT Business Analyst,Tersea,"Nous sommes une entreprise dynamique et innovante à la recherche d'un(e) IT Business Analyst talentueux(se) pour rejoindre notre équipe. Spécialisés dans la fourniture de solutions SaaS, nous accompagnons nos clients dans leur...",Casablanca (Maroc),02.05.2025,26.05.2025,Postes proposés: 2,De 3 à 5 ans,Bac +5 et plus,"['Informatique ', ' Electronique']",CDI,Non,https://www.rekrute.com/offre-emploi-it-business-analyst-recrutement-tersea-casablanca-170015.html
Ingénieur_DevOps_Sénior,Tersea,"Nous recherchons un ingénieur DevOps expérimenté pour renforcer notre équipe technique et accompagner la modernisation de notre infrastructure. Vous aurez la charge d'assurer l'automatisation des déploiements, la...",Casablanca (Maroc),,,,De 5 à 10 ans,Bac +5 et plus,"['Informatique ', ' Electronique']",CDI,Non,https://www.rekrute.com/offre-emploi-ingenieur_devops_senior-recrutement-tersea-casablanca-171093.html
ExeKutive Directeur Commercial (H/F),,"Notre groupe, acteur de référence au Maroc dans le négoce et la distribution de bois et dérivés, poursuit son développement ambitieux. Dans ce cadre, nous recherchons un(e) Directeur Commercial...",Casablanca (Maroc),,,,De 10 à 20 ans,Bac +5 et plus,"['Direction Commerciale ', ' Export']",CDI,Non,https://www.rekrute.com/offre-emploi-directeur-commercial-hf-recrutement-confidentiel-casablanca-170270.html
Health & Safety Technician,,"Missions : - Réaliser, mettre à jour et suivre les évaluations des risques professionnels pour les différents postes de travail, les équipements et les installations. - - Participer à l’élaboration et...",Larache (Maroc),02.05.2025,11.05.2025,Postes proposés: 1,De 3 à 5 ans,Bac +3,"['RH ', ' Personnel ', ' Formation']",Autre,Non,https://www.rekrute.com/offre-emploi-health-safety-technician-recrutement-confidentiel-larache-169499.html
Accountant,,"Missions : - Préparation des états financiers ; - Analyse des comptes comptables ; - Enregistrement des écritures de provisions ; - Comptabilisation des écritures de régularisation (CCA, PCA, Écarts de...",Larache (Maroc),02.05.2025,20.05.2025,Postes proposés: 1,De 1 à 3 ans,Bac +3,"['Audit ', ' Conseil']",Autre,Non,https://www.rekrute.com/offre-emploi-accountant-recrutement-confidentiel-larache-169849.html
Conseiller Technique de Vente en climatisation (H/F),Maroc Climate and Security (MCS) - Carrier,"Dans le cadre de notre développement, nous recrutons des Conseillers technique de vente en climatisation  : Suivre l’avancement des dossiers ; Chiffrage et sélection des dossiers techniques ; Etre l’interlocuteur...",Casablanca (Maroc),02.05.2025,02.07.2025,Postes proposés: 3,Moins de 1 an,Bac +3,"['Gestion projet ', ' Etudes ', ' R&D']",CDI,Non,https://www.rekrute.com/offre-emploi-conseiller-technique-de-vente-en-climatisation-hf-recrutement-maroc-climate-and-security-mcs---carrier-casablanca-171188.html
Technical Sales Consulting in Air Conditioning (H/F),Maroc Climate and Security (MCS) - Carrier,"We're looking for a Technical Sales Consulting in Air Conditioning (H/F) for our partner Carrier who is a leading provider of heating, ventilating, air conditioning and refrigeration systems, building controls and automation, and fire and security...",Casablanca (Maroc),02.05.2025,02.07.2025,Postes proposés: 2,Moins de 1 an,Bac +3,"['Gestion projet ', ' Etudes ', ' R&D']",CDD,Non,https://www.rekrute.com/offre-emploi-technical-sales-consulting-in-air-conditioning-hf-recrutement-maroc-climate-and-security-mcs---carrier-casablanca-171187.html
Ingénieur Radio Mobile (H/F),Sofrecom Maroc,"Vous intégrez une équipe de plusieurs ingénieurs design, optim et dimensionnement radio, où vous êtes en charge de réaliser des études d’ingénierie RAN pour les filiales embarquées dans le...",Rabat (Maroc),02.05.2025,02.07.2025,Postes proposés: 10,De 1 à 3 ans,Bac +5 et plus,"['Informatique ', ' Electronique']",CDI,Non,https://www.rekrute.com/offre-emploi-ingenieur-radio-mobile-hf-recrutement-sofrecom-maroc-rabat-171186.html
Televendeur Germanophone,Intelcia,"Le charge de clientele en reception d’appels s'occupe de repondre par telephone aux appels entrants des clients. Son role consiste a identifier leurs besoins et a apporter une solution le plus rapidement possible. Parfois, il doit aussi finaliser des ventes,...",Casablanca (Maroc),02.05.2025,01.06.2025,Postes proposés: 1,De 1 à 3 ans,Autodidacte,['Call Centers (métiers de)'],CDI,Non,https://www.rekrute.com/offre-emploi-televendeur-germanophone-recrutement-intelcia-casablanca-171185.html
Gouvernant (e),Oncorad Group,"Vous recherchez un poste stimulant et valorisant au sein d'une entreprise dynamique du secteur médical ? Ce poste de Gouvernant(e) à Tanger, est fait pour vous ! Dans ce rôle clé, vous contribuerez au bon...",Tanger (Maroc),02.05.2025,02.07.2025,Postes proposés: 1,De 3 à 5 ans,Bac +2,"['Hôtellerie ', ' Restauration (métiers de)']",CDI,Non,https://www.rekrute.com/offre-emploi-gouvernant-e-recrutement-oncorad-group-tanger-171184.html
Stagiaires en Recrutement,Atlas Online,Vous aurez pour mission de:  Accompagner l'équipe Ressources Humaines dans les processus de recrutement; Assurer le suivi des candidatures reçues; Effectuer les entretiens téléphonique; Assurer le suivi...,Casablanca (Maroc),02.05.2025,02.07.2025,Postes proposés: 2,Débutant,Bac +4,"['RH ', ' Personnel ', ' Formation']",Stage,Non,https://www.rekrute.com/offre-emploi-stagiaires-en-recrutement-recrutement-atlas-online-casablanca-171183.html
DATA ANALYST,ALTEN Maroc,"Au sein d’équipes pluridisciplinaires (business, produit, design), vous contribuerez à la création d’outils analytiques performants et ergonomiques. Nous recherchons un(e) Data Analyst junior passionné(e), capable de...",Rabat (Maroc),02.05.2025,02.07.2025,Postes proposés: 1,De 1 à 3 ans,Bac +5 et plus,"['Informatique ', ' Electronique']",CDI,Non,https://www.rekrute.com/offre-emploi-data-analyst-recrutement-alten-maroc-rabat-171182.html
Group Commercial Controller,Graderco,"As Group Commercial Controller, you will be responsible for developing commercial finance support and key business partnering expertise within the Group to drive profitability, performance and support short term and long range strategic decision making and...",Casablanca (Maroc),02.05.2025,02.07.2025,Postes proposés: 1,De 5 à 10 ans,Bac +5 et plus,"['Gestion ', ' Comptabilité ', ' Finance']",CDI,Non,https://www.rekrute.com/offre-emploi-group-commercial-controller-recrutement-graderco-casablanca-171181.html
Responsable de trésorerie,Graderco,"Rattaché du directeur administratif & financier, vous aurez pour principale mission de gérer et optimiser tous les flux de trésorerie, à cet effet vous serez en charge de :  Analyser les flux de trésorerie...",Casablanca (Maroc),02.05.2025,02.07.2025,Postes proposés: 1,De 5 à 10 ans,Bac +3,"['Gestion ', ' Comptabilité ', ' Finance']",CDI,Non,https://www.rekrute.com/offre-emploi-responsable-de-tresorerie-recrutement-graderco-casablanca-171180.html
Engine Mechanic (f/m/diverse),Lufthansa Technik AG,Tasks As an Engine Mechanic (f/m/diverse) you will be working in a motivated team and will be responbile for the following tasks: assembly and disassembly of engines and engine modules inspection and repair of engines and engine parts Please...,Hamburg (Allemagne),02.05.2025,02.07.2025,Postes proposés: 1,De 3 à 5 ans,Bac +2,"['Méthodes ', ' Process ', ' Industrialisation']",CDI,Non,https://www.rekrute.com/offre-emploi-engine-mechanic-fmdiverse-recrutement-lufthansa-technik-ag-hamburg-171178.html
Ingénieur Biomédical,Oncorad Group,"Intégré(e) au sein d'une entreprise dynamique du secteur de la santé, vous contribuerez activement à l'innovation et au développement de solutions biomédicales de pointe. Votre mission principale consistera...",Casablanca (Maroc),02.05.2025,02.07.2025,Postes proposés: 1,De 3 à 5 ans,Bac +5 et plus,"['Santé ', ' Social (métiers de)']",CDI,Non,https://www.rekrute.com/offre-emploi-ingenieur-biomedical-recrutement-oncorad-group-casablanca-171177.html
Manager H/F,McDonald's Maroc,"Le  Manager (le 2ème assistant) est le garant d’une bonne gestion du restaurant, il veille tout le temps sur la qualité, le service, la propreté pendant son shift et la sécurité des biens et des collaborateurs du...",Fès (Maroc),02.05.2025,07.06.2025,Postes proposés: 6,De 1 à 3 ans,Bac +2,['Call Centers (métiers de)'],CDI,Non,https://www.rekrute.com/offre-emploi-manager-hf-recrutement-mcdonalds-maroc-fes-170311.html
